PIN,Angle between B and C,Angle between B and E,Angle between B and F,Angle between C and E,Angle between C and F,Angle between the projections of B and C on the z=0 plane,Angle between the projections of B and F on the z=0 plane,Angle between the projections of C and E on the z=0 plane,Angle of B strand vector to x axis,Angle of B strand vector to y axis,Angle of B strand vector to z axis,Angle of C strand vector to x axis,Angle of C strand vector to y axis,Angle of C strand vector to z axis,Angle of E strand vector to x axis,Angle of E strand vector to y axis,Angle of E strand vector to z axis,Angle of F strand vector to x axis,Angle of F strand vector to y axis,Angle of F strand vector to z axis,Distance of Center of Mass of B from plane,Distance of Center of Mass of C from plane,Distance of Center of Mass of E from plane,Distance of Center of Mass of F from plane
1E0O_B_254_to_360,2.661147371326113,2.8583260700819,0.1875155071297764,0.4581020869145152,2.7508770285948887,2.924030725044427,0.1844503644407857,0.4092202171334713,0.190443093038984,-1.334614653171541,-0.1379876405863629,0.190443093038984,-1.334614653171541,-0.1379876405863629,-0.0006335251375819,1.4997774143508722,-0.0710160771798946,0.3748546890638273,-1.1821582008935487,-0.0977786849677648,6.317465800649221,2.0789352866681585,3.4777220614453648,1.0281917097190425
3D0V_B_117_to_211,2.50005189413205,2.8672383550189373,0.313163365299468,0.3744386874372605,2.647978532306908,2.796179596143103,0.3118365180318168,0.2461299885438813,0.0241154363329061,-1.404318304600205,-0.1646897824743234,0.0241154363329061,-1.404318304600205,-0.1646897824743234,-0.1232125036629365,1.4172248611653506,-0.0912017337603086,0.3340736855930193,-1.2168718393391562,-0.1125059441537783,7.38535246331723,1.5762467994381104,1.2341267351932068,0.7120778125816827
2O6F_A_30_to_181,2.2913452411080035,2.4002324778536988,0.6645275001596651,0.6999774389167932,2.735356377524037,2.37177363871357,0.6708072611132107,0.6667877838881678,0.0740095864523235,-1.423341150767643,-0.1273021098321118,0.0740095864523235,-1.423341150767643,-0.1273021098321118,-0.1455946095546818,0.9408802591488704,-0.6076404600695455,0.7353844765790705,-0.8136151192127299,-0.1479444804896046,4.605642355702435,0.0687636545914792,3.678899776205661,1.4768635065280364
3KNB_A_4_to_98,2.4859869932756777,2.7404149611306465,0.3064379526809401,0.481879281446503,2.730344436111176,2.7386149475625965,0.2782311022990862,0.4894220166658482,0.0791335275514832,-1.411989062761443,-0.1373968160010057,0.0791335275514832,-1.411989062761443,-0.1373968160010057,0.0063451196601669,1.3162009815045883,-0.2545127434942396,0.3581099634503877,-1.2126121215544772,-0.006981941870447,7.041423035763326,1.8634242248082415,2.3106964570810504,1.3058875336962228
4MS8_C_119_to_190,2.653493956185826,2.5529278378817546,0.324961645662023,0.2256204986384665,2.978166234865339,2.809851086263136,0.2253452672920832,0.1237161380988314,0.0921411187872511,1.3956315764627931,-0.1485462934793648,0.0921411187872511,1.3956315764627931,-0.1485462934793648,-0.2763039070672364,-1.072029952929901,-0.4038114219470747,0.3172914717629689,1.2412080533839935,0.0861943731722834,0.2126213806981768,1.672012216343436,10.640209532025295,5.079277738879936
2WP3_O_10_to_103,2.41022740318601,2.767079414829579,0.3162575868890972,0.5671882769163671,2.660545222677093,2.7177711064045726,0.2865542579530684,0.533782178763974,-0.8640823710428123,-0.6631489839332079,-0.208077467428412,-0.8640823710428123,-0.6631489839332079,-0.208077467428412,0.9829732371523552,0.563326757662266,-0.1501247022183647,-0.6021587027700335,-0.9636959721433804,-0.0680390698861268,8.872723295247003,4.166717154140178,0.7633133750603948,4.048041556828956
1HDM_B_89_to_183,2.5865639190655427,2.8684213471500195,0.3990008325104816,0.3915394312147494,2.874778683931035,2.728589885402192,0.3860777838012789,0.3838226654488462,0.1497591885111049,-1.356770031241067,-0.1517486335398576,0.1497591885111049,-1.356770031241067,-0.1517486335398576,-0.1793828998241255,1.35431980740271,-0.1198697471487675,0.5370286540593221,-1.031623600070136,-0.0434547590603475,5.567468928095949,1.1770283855555113,0.459318999566765,1.3225301394814506
5N2D_A_21_to_132,2.4183556796005226,2.8161594205134275,0.5375911336734358,0.5657868694009971,2.860989368650662,2.5286843692896337,0.5287381143656887,0.5693566532693142,-0.0389983800088049,1.370914251777996,-0.1959395461292492,-0.0389983800088049,1.370914251777996,-0.1959395461292492,0.0826429657928815,-1.4193696697066316,-0.1265954695813185,-0.5667694738953273,0.9980758260234788,-0.0735919294278149,0.5704796280357716,1.2959485798710346,3.991611590045944,0.5926854233215867
3GTT_A_1_to_152,2.1986732278368266,2.9079419016147092,0.8199926267748315,0.7922307875812452,2.669235619146742,2.2606272516360426,0.8293597003635037,0.7897534228549633,0.0044030961705034,1.4299287688431392,-0.1407978089758772,0.0044030961705034,1.4299287688431392,-0.1407978089758772,0.0865241823139026,-1.4565549367841832,-0.0744100647073131,-0.7889130397131554,0.7149961518087203,-0.2611335548439246,0.9209906039968944,1.354446021794247,2.491754316392108,1.062432311433399
1BP3_B_305_to_402,2.4491953366443164,2.799635463548539,0.6293166037710789,0.4912024743903118,2.806624133758916,2.5238376935222617,0.6344958869719304,0.5014158517928488,0.2703833107932041,-1.2736892978076089,-0.1201334681373536,0.2703833107932041,-1.2736892978076089,-0.1201334681373536,-0.3804506393395757,1.135250333958432,-0.201642585217491,0.8952064722578759,-0.6567183942453156,-0.1358286438079625,3.0141394191437563,0.1975633736169089,3.0715907790386123,2.439549046079612
